,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Code,COL,Role
535,Digital Editor/Producer,57000.00,No,Radio station,Community/independent nonprofit,Pittsburgh,Pennsylvania,No,1,7,8,29,Female,White,Yes,PA,93.1,Producer
536,Senior Graphic Designer,57000.00,Yes,TV station,College/university,Twin Cities,Minnesota,No,7,7,7,32,Female,White,Yes,MN,,Designer
537,Digital Marketing Manager,57000.00,Yes,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,No,3,5,5,32,Female,Biracial/Multiracial,No,MA,132.6,Marketing
538,Audience Engagement Editor,57000.00,Yes,National network/organization ,,Boston,Massachusetts,No,3,3,3,30,Female,White,No,MA,132.6,Editor
539,Membership Manager,56000.00,No,Joint licensee,College/university,nan,Florida,No,3,8,8,39,Female,Hispanic/Latino,Yes,FL,,Manager
540,Reporter,56000.00,Yes,Radio station,Community/independent nonprofit,Denver,Colorado,No,1,3,5,26,Female,Hispanic/Latino,No,CO,112.1,Reporter
541,Producer,56000.00,Yes,TV station,Community/independent nonprofit,Denver,Colorado,No,3,3,3.5,25,Female,White,Yes,CO,112.1,Producer
542,Member Services Manager,56000.00,No,Joint licensee,Community/independent nonprofit,Philadelphia,Pennsylvania,No,2,3,3,36,Female,White,Yes,PA,103.4,Manager
543,All Things Considered Host and Assignment Editor,56500.00,No,Radio station,College/university,Lansing,Michigan,Yes,1,1,5.5,25,Female,White,Yes,MI,88.7,Host
544,On-Air Fundraising Manager,56182.00,No,Radio station,State,Madison,Wisconsin,No,2.5,5,5,29,Female,White,No,WI,99.5,Manager
545,Assistant Director of On-Air Fundraising and Membership,56000.00,No,Joint licensee,College/university,Columbus,Ohio,No,8,27,24,50,Female,White,No,OH,93.9,Director
546,Producer/Director,56000.00,No,Joint licensee,College/university,Bowling Green,Kentucky,Yes,30,30,30,63,Female,White,No,KY,87,Producer
547,Music Specialist,56000.00,Yes,National network/organization ,,Denver,Colorado,No,9,9,9,60,Female,White,No,CO,112.1,Specialist
548,Editor Producer,56000.00,No,Radio station,,Pittsburgh,Pennsylvania,No,1,1,8,28,Female,White,Yes,PA,93.1,Producer
549,Membership Specialist,56000.00,Yes,Joint licensee,Community/independent nonprofit,Philadelphia,Pennsylvania,No,1,8,8,37,Male,White,No,PA,103.4,Specialist
550,Associate Manager,56000.00,Yes,TV station,State,San Francisco,California,No,5,2,5,32,Female,Hispanic/Latino,Yes,CA,178.6,Manager
551,Associate Producer,56000.00,Yes,Radio station,Community/independent nonprofit,Saint Paul,Minnesota,No,3,3,5,29,Female,Hispanic/Latino,No,MN,,Producer
552,Senior Reporter,56000.00,No,Radio station,College/university,Kansas City,Missouri,No,4,4,4,41,Female,Other,No,MO,91.6,Reporter
553,Major Gifts and Planned Giving Officer ,56000.00,Yes,TV station,College/university,Milwaukee,Wisconsin,No,3,3,3,38,Male,White,No,WI,93.8,Executive Officer
554,On-Air Fundraising Coordinator,56000.00,No,Joint licensee,Community/independent nonprofit,Dallas,Texas,No,2,2,2,31,Non-binary / third gender,White,No,TX,98.5,Manager
555,Engineer Producer,55000.00,Yes,Radio station,Community/independent nonprofit,Chicago,Illinois,No,27,27,27,51,Female,White,No,IL,100.1,Engineer
556,Production Manager,55000.00,Yes,Radio station,College/university,Philadelphia,Pennsylvania,Yes,21,21,21,60,Male,White,No,PA,103.4,Manager
557,Operations Manager,55000.00,No,Radio station,College/university,Santa Fe,New Mexico,No,2,2,12,31,,White,No,NM,105.1,Manager
558,Reporter/Producer,55000.00,Yes,Radio station,College/university,Salt Lake City,Utah,No,2,10,10,30,Male,White,Yes,UT,105.9,Reporter
559,Producer ,55000.00,Yes,Radio station,Community/independent nonprofit,Newark,New Jersey,No,3,4,4,32,Male,White,No,NJ,,Producer
560,Assistant Editor,55000.00,Yes,National network/organization ,,San Francisco,California,No,1,1,3,43,Female,Asian,No,CA,178.6,Editor
561,Individual Giving Manager,55000.00,No,Radio station,Community/independent nonprofit,Pittsburgh,Pennsylvania,No,0,0,0,31,Female,White,No,PA,93.1,Manager
562,Video Editor,55786.00,No,TV station,Community/independent nonprofit,Dallas,Texas,No,33,36,36,65,Female,White,No,TX,98.5,Video Journalist
563,Senior Associate,55700.00,Yes,National network/organization ,,Arlington,Virginia,No,4,4,4,36,Female,Biracial/Multiracial,No,VA,,
564,Grant Writer,55636.00,Yes,TV station,State,Honolulu,Hawaii,No,1,4,4,53,Female,Asian,No,HI,158,
565,Arts and Culture Senior Reporter,55500.00,Yes,Radio station,College/university,St. Louis,Missouri,No,3,3,9,44,Male,White,No,MO,89.6,Reporter
566,Development Communication Manager,55500.00,No,National network/organization ,,Saint Paul,Minnesota,No,2.5,2.5,2.5,41,Female,White,Yes,MN,,Manager
567,Senior Operations Specialist,55244.52,No,Radio station,College/university,St. Louis,Missouri,No,3,9,9,35,Female,White,No,MO,89.6,Specialist
568,Coordinating Producer,55200.00,No,Joint licensee,Community/independent nonprofit,Cleveland,Ohio,No,4,5,5,25-35,Prefer to self-describe,White,No,OH,90,Producer
569,Producer,55000.00,No,TV station,College/university,Salt Lake City,Utah,No,15,10,27,53,Male,White,No,UT,105.9,Producer
570,Media Production Specialist,55000.00,Yes,Joint licensee,College/university,San Diego,California,Yes,21,21,23,46,Female,White,Yes,CA,136.2,Specialist
571,Program Director,55000.00,Yes,Radio station,College/university,Minneapolis,Minnesota,No,7,10,21,48,Female,White,Yes,MN,105.4,Director
572,Communications Manager,55000.00,No,Joint licensee,Community/independent nonprofit,Fargo,North Dakota,No,20,20,20,59,Female,White,No,ND,91.4,Manager
573,Senior Field Correspondent ,55000.00,Yes,Radio station,College/university,Phoenix,Arizona,No,5,7,10,38,Male,White,No,AZ,104.3,Reporter
574,Senior Producer,55000.00,Yes,Joint licensee,College/university,Midwest,Wisconsin,No,5,5,10,35,Prefer not to say,White,No,WI,,Producer
575,Traffic Coordinator,55000.00,No,Radio station,College/university,Salt Lake City,Utah,No,3,3,10,51,Female,White,No,UT,105.9,Manager
576,Traffic Manager/Corporate Support Coordinator ,55000.00,,Radio station,Community/independent nonprofit,Greeley,Colorado,No,5,10,10,35,Female,White,No,CO,106.1,Manager
577,Host/Producer,55000.00,No,Radio station,College/university,Austin,Texas,No,1,6,7,44,Female,White,No,TX,106.6,Host
578,Beat Reporter,55000.00,No,Radio station,Community/independent nonprofit,Nashville,Tennessee,No,0,0,6,28,Female,White,Yes,TN,100.1,Reporter
579,Digital Content Coordinator,55000.00,Yes,Radio station,College/university,Boise,Idaho,No,6,6,6,32,Female,White,No,ID,,Manager
580,Digital Media Manager,55000.00,No,Joint licensee,College/university,Fort Myers,Florida,No,5,5,6,31,Female,White,Yes,FL,101.5,Manager
581,Director of Business Sponsorship,55000.00,Yes,TV station,State,Madison,Wisconsin,No,6,6,6,59,Female,White,Yes,WI,99.5,Director
582,Director of Planned Giving,55000.00,No,Joint licensee,State,nan,,No,2,5,5,49,Female,White,No,,,Director
583,"Senior Producer, Daily Live News Radio Program",55000.00,Yes,Radio station,Community/independent nonprofit,Concord,New Hampshire,No,0.5,4.5,5,29,Female,White,Yes,NH,108.3,Producer
584,Grant Writer,55000.00,No,TV station,State,Owings Mills,Maryland,Yes,2,4,4,30,Male,White,No,MD,,
585,Web Producer,55000.00,Yes,TV station,Community/independent nonprofit,San Diego,California,Yes,4,4,4,31,Male,White,No,CA,136.2,Producer
586,Announcer and Host,55000.00,No,Joint licensee,School board,nan,Virginia,No,3,3,3,30,Female,White,No,VA,,Host
587,Production Coordinator ,55000.00,Yes,National network/organization ,,San Francisco,California,No,1,3,3,26,Female,White,Yes,CA,178.6,Manager
588,Production Technician Tier 1,55000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,2,2,2.5,23,Prefer to self-describe,White,Yes,DC,,
589,Audience Engagement Editor,55000.00,Yes,Radio station,College/university,Sacramento,California,No,1,1,2,30,Female,Hispanic/Latino,No,CA,120.3,Editor
590,Membership Manager,55000.00,No,Radio station,College/university,Birmingham,Alabama,No,2,2,2,34,Female,White,No,AL,90.7,Manager
591,General Manager ,55000.00,Yes,Radio station,Community/independent nonprofit,Jeffersonville,New York,No,1,8,1,54,Male,White,Yes,NY,,Manager
592,Marketing Coordinator/Copywriter,55000.00,Yes,Radio station,Community/independent nonprofit,nan,Colorado,No,1,1,1,29,Female,White,No,CO,,Marketing
593,Digital News Reporter,55000.00,No,Radio station,,Lewiston,Maine,Yes,0.5,0.5,0.5,34,Male,White,No,ME,99.7,Reporter
594,Human Resources Generalist,54080.00,Yes,Radio station,Community/independent nonprofit,Colchester,Vermont,No,5,5,5,60,Female,White,No,VT,,HR
595,Media Production Specialist,54000.00,Yes,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,No,2,6,6,26,Male,White,No,MA,132.6,Specialist
596,Grants and Foundation Relations Manager,54000.00,No,Joint licensee,Community/independent nonprofit,Indianapolis,Indiana,No,1,1.5,4,34,Male,White,No,IN,90.2,Manager
597,Reporter/Producer,54000.00,No,Joint licensee,,Cleveland,Ohio,No,1,2,2,23,Female,White,No,OH,90,Reporter
598,Communication Specialist,54600.00,Yes,Joint licensee,College/university,Lincoln,Nebraska,No,20,20,20,54,Female,White,No,NE,94.7,Specialist
599,Production Engineer,54500.00,Yes,Radio station,College/university,Madison,Wisconsin,No,12,12,12,49,Female,White,Yes,WI,99.5,Engineer
600,Podcast Producer,54500.00,Yes,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,No,4,4,9,31,Male,White,Yes,MA,132.6,Producer
601,General Manager,54500.00,No,Radio station,Community/independent nonprofit,Lincoln,Nebraska,No,5,5,5,43,Female,White,Yes,NE,94.7,Manager
602,Environmental Designer,54344.00,Yes,TV station,,Madison,Wisconsin,No,10,10,14,40,Male,Biracial/Multiracial,No,WI,99.5,Designer
603,Web Editor,54100.00,Yes,National network/organization ,,Saint Paul,Minnesota,No,1,1,2,38,Male,White,No,MN,,Editor
604,Producer,54000.00,No,Joint licensee,College/university,Madison,Wisconsin,No,20,20,23,43,Male,White,Yes,WI,99.5,Producer
605,Membership and Volunteer Manager,54000.00,No,Joint licensee,Community/independent nonprofit,Rochester,New York,No,13,13,13,51,Female,White,No,NY,96.6,Manager
606,Senior Reporter,54000.00,No,Radio station,College/university,St. Louis,Missouri,No,4,4,10,32,Male,White,No,MO,89.6,Reporter
607,Development Director,54000.00,Yes,Radio station,College/university,nan,Iowa,No,4,6,6,40,Female,White,No,IA,,Director
608,Multimedia Journalist ,54000.00,No,Radio station,College/university,Tampa,Florida,No,6,6,6,32,Non-binary / third gender,White,No,FL,101.4,Reporter
609,Local Government Reporter,54000.00,No,Radio station,Community/independent nonprofit,Cincinnati,Ohio,No,1,1,5.5,28,Female,White,Yes,OH,92.4,Reporter
610,Producer,54000.00,Yes,Radio station,Community/independent nonprofit,Charlotte,North Carolina,No,5,5,5,38,Male,White,Yes,NC,97.9,Producer
611,Associate Producer,54000.00,Yes,Radio station,State,Saint Paul,Minnesota,Yes,3.5,4,4,29,Female,White,No,MN,,Producer
612,Grants and Contracts Manager,54000.00,No,TV station,College/university,Salt Lake City,Utah,No,3,3,3,40,Female,Other,Yes,UT,105.9,Manager
613,Business Support Account Manager,54000.00,No,Radio station,Community/independent nonprofit,Yellow Springs,Ohio,No,2,2,2,40,Female,White,Yes,OH,,Manager
614,Multimedia Content Producer,54000.00,Yes,Radio station,Community/independent nonprofit,Philadelphia,Pennsylvania,Yes,1,1,1,30,Female,White,No,PA,103.4,Producer
615,Regional News Director,53600.00,No,National network/organization ,,Juneau,Alaska,No,2,2.5,14,42,Male,Other,Yes,AK,,Director
616,General Manager,53550.00,No,Radio station,Community/independent nonprofit,Ketchikan,Alaska,No,2,9,9,49,Female,Biracial/Multiracial,No,AK,,Manager
617,Director of Individual Giving and Annual Fund,53000.00,Yes,TV station,Community/independent nonprofit,Durham,New Hampshire,No,10,17,17,51,Female,White,No,NH,,Director
618,Senior Broadcast Technology Technician,53531.00,No,TV station,College/university,Albuquerque,New Mexico,No,3,18,18,46,Male,Hispanic/Latino,No,NM,92.9,
619,Director of Content,53045.00,Yes,TV station,Community/independent nonprofit,San Antonio,Texas,No,6,17,17,43,Female,Hispanic/Latino,No,TX,92.7,Director
620,Radio Traffic Controller,53040.00,No,Joint licensee,College/university,Columbus,Ohio,No,8,8,8,36,Female,White,No,OH,93.9,
621,Media Production Specialist/Master Control Remote Truck,53000.00,Yes,Joint licensee,State,San Diego,California,Yes,38,20,40,62,Female,White,No,CA,136.2,Specialist
622,Regional Manager ,53000.00,Yes,National network/organization ,,Chicago,Illinois,No,4,4,30,55,Female,White,No,IL,100.1,Manager
623,General Assignments Reporter,53000.00,No,Radio station,Community/independent nonprofit,Cincinnati,Ohio,No,1,1,6,33,Female,Hispanic/Latino,No,OH,92.4,Reporter
624,State Capitol Reporter,53000.00,No,Radio station,College/university,Madison,Wisconsin,No,5,6,6,33,Female,White,No,WI,99.5,Reporter
625,Education Specialist,53000.00,Yes,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,5,5,5,40,Female,White,No,MN,,Specialist
626,Reporter,53000.00,No,Radio station,Community/independent nonprofit,Aspen,Colorado,No,1.5,1.5,2,23,Male,White,No,CO,,Reporter
627,Story Trainer and  Co-Producer,52800.00,No,Radio station,Community/independent nonprofit,Whitesburg,Kentucky,Yes,1,4,7,29,Male,White,Yes,KY,,Producer
628,Annual Giving Manager,52000.00,Yes,TV station,Community/independent nonprofit,Denver,Colorado,No,2,4,10,38,Female,White,No,CO,112.1,Manager
629,Reporter/Videographer,52000.00,No,TV station,Community/independent nonprofit,Austin,Texas,Yes,7,7,7,37,Male,Hispanic/Latino,No,TX,106.6,Video Journalist
630,Digital Producer,52000.00,Yes,Radio station,Community/independent nonprofit,Saint Paul,Minnesota,Yes,5,5,5,26,Female,White,Yes,MN,,Producer
631,Reporter,52000.00,No,Radio station,College/university,St. Louis,Missouri,No,3,3,5,32,Female,Biracial/Multiracial,No,MO,89.6,Reporter
632,Photojournalist,52000.00,Yes,TV station,College/university,San Diego,California,Yes,8,2,2,46,Male,Black or African American,No,CA,136.2,Photo Journalist
633,Environmental Reporter,52656.00,Yes,Radio station,College/university,Houston,Texas,No,1,2,2,31,Female,White,No,TX,95.8,Reporter
634,Director of Corporate Development,52500.00,No,TV station,State,Madison,Wisconsin,No,2,22,,57,Female,White,Yes,WI,99.5,Director
635,Associate Producer,52500.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,No,1.5,1.5,7,28,Female,White,No,DC,,Producer
636,Reporter,52500.00,Yes,Radio station,Community/independent nonprofit,Baltimore,Maryland,No,2,2,6,26,Female,White,Yes,MD,107,Reporter
637,Economic Development Reporter,52500.00,No,Radio station,College/university,St. Louis,Missouri,No,2,2,3,28,Female,White,No,MO,89.6,Reporter
638,Data Journalist,52500.00,Yes,National network/organization ,,Lincoln,Nebraska,No,0.4,0.4,0.4,27,Male,Biracial/Multiracial,No,NE,94.7,Data Journalist
639,Producer,52300.00,Yes,Joint licensee,Community/independent nonprofit,Juneau,Alaska,No,0.5,4.5,4.5,40,Female,White,Yes,AK,,Producer
640,Program Director,52100.00,No,Radio station,Community/independent nonprofit,Fort Wayne,Indiana,No,10,10,10,32,Female,White,No,IN,86.8,Director
641,Producer/Director,52000.00,Yes,Joint licensee,College/university,Lincoln,Nebraska,No,20,20,21,53,Female,White,No,NE,94.7,Producer
642,Special Projects Producer,52000.00,Yes,Joint licensee,College/university,Tucson,Arizona,No,2,2,20,55,Female,Black or African American,Yes,AZ,97.7,Producer
643,Host/Reporter,52000.00,No,Radio station,College/university,Birmingham,Alabama,No,13,13,16,38,Male,White,No,AL,90.7,Reporter
644,Director of Marketing,52000.00,No,TV station,Community/independent nonprofit,Plattsburgh,New York,No,6,14,14,27,Female,White,No,NY,93.7,Marketing
645,Videojournalist,52000.00,No,Joint licensee,College/university,San Diego,California,Yes,10,10,10,36,Male,White,Yes,CA,136.2,Video Journalist
646,Development Specialist,52000.00,No,TV station,College/university,Madison,Wisconsin,Yes,5,6.5,7.5,32,Female,White,No,WI,99.5,Specialist
647,Senior Producer,52000.00,No,Radio station,Community/independent nonprofit,Baltimore,Maryland,No,3,7,7,30,Female,White,No,MD,107,Producer
648,Digital Product Manager,52000.00,No,Radio station,College/university,St. Louis,Missouri,No,6,5,6,26,Male,White,No,MO,89.6,Manager
649,Reporter,52000.00,No,Radio station,College/university,Canton,New York,No,2,2,6,31,Female,White,No,NY,,Reporter
650,Digital Technology Administrator ,52000.00,Yes,Radio station,College/university,Tampa,Florida,No,2.5,5.5,5.5,56,Female,White,Yes,FL,101.4,Manager
651,Arts Producer,52000.00,Yes,Radio station,Community/independent nonprofit,Asheville,North Carolina,No,4,4,4,58,Male,White,Yes,NC,103.3,Producer
652,Community Engagement Manager,52000.00,Yes,Joint licensee,College/university,Salt Lake City,Utah,No,4,4,4,43,Female,White,No,UT,105.9,Manager
653,Marketing Manager,52000.00,No,TV station,College/university,Amarillo,Texas,No,4,4,4,43,Female,White,No,TX,88.2,Marketing
654,Membership Coordinator,52000.00,Yes,Radio station,Community/independent nonprofit,Juneau,Alaska,No,2.5,4,4,34,Female,White,No,AK,,Manager
